Time (msec),A/F Sensor #1 (AFR),Accelerator Pedal Angle (%),Boost Error* (psi),CL/OL Fueling* (status),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),Feedback Knock Correction (1-byte)** (degrees),Fine Learning Knock Correction (degrees),Fuel Injector #1 Latency (4-byte)* (ms),Fuel Injector #1 Pulse Width (ms),IAM (4-byte)* (multiplier),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake VVT Advance Angle Left (degrees),Intake VVT Advance Angle Right (degrees),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Learned Ignition Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary WGDC Maximum (1-byte)** (%),Primary Wastegate Duty Cycle (%),Primary Wastegate Duty Maximum* (4-byte)* (%),Requested Torque* (raw ecu value),Target Boost Relative (4-byte)* (psi relative),Throttle Opening Angle (%),Tip-in Enrichment (Last Calculated)* (raw ecu value),Tip-in Throttle* (%),Manifold Absolute Pressure (2-byte)** (bar absolute),Manifold Absolute Pressure (4-byte)* (psi absolute),Manifold Relative Pressure (4-byte)* (psi relative),Manifold Relative Sea Level Pressure (2-byte)** (bar relative sea level),Map Ratio (Primary)* (multiplier)
0,16.88,0.00,-11.83,8,0.18,742,0.00,0.00,0.8180,1.79,1.0000,11.99,12.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
180,16.88,0.00,-11.83,8,0.18,748,0.00,0.00,0.8235,1.79,1.0000,11.99,12.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.000,14.52,-0.95,-0.013,0.000
359,16.88,0.00,-11.83,8,0.18,751,0.00,0.00,0.8155,1.79,1.0000,11.99,11.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
537,16.88,0.00,-11.83,8,0.18,734,0.00,0.00,0.8180,1.79,1.0000,11.99,11.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
716,16.88,0.00,-11.83,8,0.18,747,0.00,0.00,0.8155,1.79,1.0000,11.99,13.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
896,16.88,0.00,-11.83,8,0.18,745,0.00,0.00,0.8105,1.79,1.0000,11.99,13.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
1075,16.88,0.00,-11.83,8,0.18,744,0.00,0.00,0.8105,1.79,1.0000,11.99,11.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
1254,16.88,0.00,-11.83,8,0.18,756,0.00,0.00,0.8105,1.79,1.0000,11.99,12.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.000,14.52,-0.95,-0.013,0.000
1433,16.88,0.00,-11.83,8,0.18,757,0.00,0.00,0.8080,1.79,1.0000,11.99,11.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,-0.122,1.001,14.52,-0.95,-0.012,0.000
1612,16.88,0.00,-11.83,8,0.18,748,0.00,0.00,0.8155,1.79,1.0000,11.99,13.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
1791,16.77,0.00,-11.83,8,0.18,757,0.00,0.00,0.8080,1.79,1.0000,11.99,11.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
1969,16.77,0.00,-11.83,8,0.18,767,0.00,0.00,0.8130,1.79,1.0000,11.99,10.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.24,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
2149,16.88,0.00,-11.83,8,0.18,762,0.00,0.00,0.8105,1.79,1.0000,11.99,11.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
2328,16.88,0.00,-11.83,8,0.18,748,0.00,0.00,0.8180,1.79,1.0000,11.99,12.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
2507,16.88,0.00,-11.83,8,0.18,743,0.00,0.00,0.8105,1.79,1.0000,11.99,12.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.24,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
2685,17.00,0.00,-11.83,8,0.18,754,0.00,0.00,0.8180,1.79,1.0000,11.99,11.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
2865,16.88,0.00,-11.83,8,0.18,761,0.00,0.00,0.8105,1.79,1.0000,11.99,12.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
3044,16.88,0.00,-11.83,8,0.18,739,0.00,0.00,0.8155,1.79,1.0000,11.99,12.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
3221,16.88,0.00,-11.83,8,0.18,746,0.00,0.00,0.8180,1.79,1.0000,11.99,13.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
3401,16.77,0.00,-11.83,8,0.18,756,0.00,0.00,0.8080,1.79,1.0000,11.99,11.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.24,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
3580,16.77,0.00,-11.83,8,0.18,754,0.00,0.00,0.8155,1.79,1.0000,11.99,11.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
3759,16.88,0.00,-11.83,8,0.18,750,0.00,0.00,0.8205,1.79,1.0000,11.99,12.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
3938,16.88,0.00,-11.83,8,0.18,745,0.00,0.00,0.8125,1.79,1.0000,11.99,12.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
4117,16.88,0.00,-11.83,8,0.18,758,0.00,0.00,0.8155,1.79,1.0000,11.99,11.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
4295,16.88,0.00,-11.83,8,0.18,764,0.00,0.00,0.8080,1.79,1.0000,11.99,11.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
4475,16.88,0.00,-11.83,8,0.18,740,0.00,0.00,0.8105,1.79,1.0000,11.99,12.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
4654,16.77,0.00,-11.83,8,0.18,746,0.00,0.00,0.8130,1.79,1.0000,11.99,12.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
4833,16.88,0.00,-11.83,8,0.18,755,0.00,0.00,0.8080,1.79,1.0000,11.99,11.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
5012,16.88,0.00,-11.83,8,0.18,756,0.00,0.00,0.8140,1.79,1.0000,11.99,12.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
5191,16.77,0.00,-11.83,8,0.18,752,0.00,0.00,0.8060,1.79,1.0000,11.99,12.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
5370,16.88,0.00,-11.82,8,0.18,748,0.00,0.00,0.8090,1.79,1.0000,11.99,12.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.24,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.51,-0.96,-0.012,0.000
5548,16.88,0.00,-11.83,8,0.18,752,0.00,0.00,0.8180,1.79,1.0000,11.99,11.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
5727,16.88,0.00,-11.83,8,0.18,751,0.00,0.00,0.8105,1.79,1.0000,11.99,12.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
5906,16.77,0.00,-11.83,8,0.18,753,0.00,0.00,0.8180,1.79,1.0000,11.99,12.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
6084,16.77,0.00,-11.83,8,0.18,746,0.00,0.00,0.8105,1.79,1.0000,11.99,12.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.24,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
6263,16.77,0.00,-11.83,8,0.18,746,0.00,0.00,0.8180,1.79,1.0000,11.99,11.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.24,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
6442,16.77,0.00,-11.83,8,0.18,745,0.00,0.00,0.8130,1.79,1.0000,11.99,12.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
6621,16.88,0.00,-11.83,8,0.18,753,0.00,0.00,0.8080,1.79,1.0000,11.99,12.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
6800,16.88,3.53,-11.83,8,0.18,737,0.00,0.00,0.8105,1.79,1.0000,10.41,11.00,0,0,0,2,2,3,0.00,14.51,-7.25,26.25,2.38,0.00,0.00,0.000,167.16,-12.78,1.96,17,0.610,1.001,14.52,-0.95,-0.012,0.000
6980,16.88,80.78,-11.83,8,0.81,590,0.00,0.00,0.8155,4.61,1.0000,9.40,15.00,1,0,0,2,2,3,7.00,14.51,-7.25,13.25,1.70,0.00,0.00,0.000,167.16,-12.78,30.59,9,0.000,1.001,14.52,-0.95,-0.012,0.000
7158,17.00,29.80,-11.83,8,0.94,1250,0.00,0.00,0.8060,6.40,1.0000,12.25,15.00,0,1,0,2,2,4,3.50,14.51,-7.25,6.01,1.28,0.00,0.00,0.000,0.00,-12.78,31.76,9,-3.296,1.001,14.52,-0.95,-0.012,0.000
7338,19.06,0.00,-11.73,8,0.60,1603,0.00,0.00,0.8170,5.63,1.0000,20.79,9.00,0,0,0,2,2,4,0.00,14.51,-7.25,11.24,2.02,0.00,0.00,0.000,226.08,-12.66,2.75,9,0.000,1.001,14.52,-0.95,-0.012,0.000
7517,14.59,55.29,-3.32,8,0.71,1887,0.00,0.00,0.8325,4.35,1.0000,23.36,23.50,0,0,0,2,2,4,2.50,14.51,-7.25,21.25,1.90,0.00,5.88,6.783,0.00,-4.28,34.90,12,0.000,1.001,14.51,-0.95,-0.012,0.120
7696,13.44,0.00,-11.28,8,0.63,1962,0.00,0.00,0.8155,5.12,1.0000,28.09,21.00,0,0,0,2,2,4,0.00,14.51,-7.25,3.52,1.16,18.04,0.00,46.803,7.33,-12.23,4.71,12,-0.122,1.001,14.52,-0.95,-0.012,0.296
7874,12.86,40.00,-4.09,8,0.33,1560,0.00,0.00,0.8205,2.82,1.0000,25.82,27.50,0,0,0,2,2,4,1.50,14.51,-7.25,33.87,2.20,47.06,16.08,17.947,222.53,-5.04,18.43,13,3.174,1.001,14.52,-0.95,-0.012,0.480
8053,11.60,5.88,-11.83,8,0.91,1315,0.00,0.00,0.8130,4.61,1.0000,15.38,14.50,2,2,0,2,2,4,1.00,14.51,-7.25,7.48,1.40,1.57,0.00,0.000,0.00,-12.78,31.76,13,-5.981,1.001,14.52,-0.95,-0.012,0.656
8231,13.09,0.39,-8.96,8,0.64,1199,0.00,0.00,0.8180,4.10,1.0000,21.52,23.50,0,1,0,2,2,4,0.00,14.51,-7.25,21.92,2.20,0.00,0.00,0.000,188.28,-9.88,3.14,15,0.000,1.001,14.52,-0.95,-0.012,0.840
8411,14.13,30.59,-9.35,8,0.86,950,0.00,0.00,0.8105,4.10,1.0000,9.91,11.50,0,1,0,2,2,4,3.00,14.51,-7.25,18.43,1.86,0.00,0.00,0.000,175.56,-10.30,28.63,11,0.000,1.001,14.52,-0.95,-0.012,1.000
8590,14.13,29.02,-10.36,8,1.00,1045,0.00,0.00,0.8060,4.86,1.0000,8.58,9.50,0,1,0,2,2,4,3.00,14.51,-7.25,16.68,1.84,0.00,0.00,0.000,162.09,-11.31,28.63,11,-0.122,1.001,14.52,-0.95,-0.012,1.000
8770,17.34,17.25,-11.18,8,1.00,931,0.00,0.00,0.8020,5.63,1.0000,7.74,8.50,0,0,0,2,2,4,3.00,14.51,-7.25,15.50,1.78,0.00,0.00,0.000,157.26,-12.13,19.61,10,0.122,1.001,14.52,-0.95,-0.012,1.000
8948,15.04,13.33,-11.83,8,0.99,1048,0.00,0.00,0.8115,5.63,1.0000,10.84,10.00,0,0,0,2,2,4,2.00,14.51,-7.25,8.09,1.44,0.00,0.00,0.000,35.39,-12.78,18.04,10,-1.465,1.000,14.52,-0.95,-0.013,1.000
9127,13.44,5.88,-11.83,8,0.79,951,0.00,0.00,0.8095,4.61,1.0000,19.45,17.00,0,1,0,2,2,4,1.00,14.51,-7.25,4.83,1.24,0.00,0.00,0.000,0.00,-12.78,5.88,10,-0.122,1.001,14.52,-0.95,-0.012,1.000
9306,12.17,0.00,-11.83,8,0.58,1036,0.00,0.00,0.8080,3.58,1.0000,20.73,24.00,0,0,0,2,2,4,0.00,14.51,-7.25,2.92,1.10,0.00,0.00,0.000,0.00,-12.78,2.75,10,0.000,1.001,14.52,-0.95,-0.012,1.000
9484,11.71,0.00,-11.83,8,0.41,1069,0.00,0.00,0.8180,2.56,1.0000,16.53,22.50,0,0,0,2,2,4,0.00,14.51,-7.25,2.97,1.12,0.00,0.00,0.000,0.00,-12.78,2.75,10,-0.122,1.001,14.52,-0.95,-0.012,1.000
9663,12.29,0.00,-11.83,8,0.29,1072,0.00,0.00,0.8080,2.05,1.0000,12.26,18.00,0,0,0,2,2,4,0.00,14.51,-7.25,2.97,1.10,0.00,0.00,0.000,0.00,-12.78,2.75,10,0.000,1.000,14.52,-0.95,-0.013,1.000
9843,13.09,0.00,-11.83,8,0.24,1047,0.00,0.00,0.8080,1.79,1.0000,11.99,17.00,0,0,0,2,2,4,0.00,14.51,-7.25,3.00,1.12,0.00,0.00,0.000,0.00,-12.78,2.75,10,0.000,1.001,14.52,-0.95,-0.012,1.000
10022,14.24,0.00,-11.83,8,0.21,1090,0.00,0.00,0.8480,1.79,1.0000,11.99,16.00,0,0,0,2,2,4,0.00,14.51,-7.25,3.00,1.12,0.00,0.00,0.000,0.00,-12.78,2.75,10,-0.122,1.001,14.52,-0.95,-0.012,1.000
10201,15.85,0.00,-11.83,8,0.19,1041,0.00,0.00,0.8405,1.79,1.0000,11.99,15.00,0,0,0,2,2,4,0.00,14.51,-7.25,3.00,1.12,0.00,0.00,0.000,0.00,-12.78,2.75,10,0.000,1.000,14.52,-0.95,-0.013,1.000
10380,18.26,0.00,-11.83,8,0.19,1024,0.00,0.00,0.8130,1.79,1.0000,11.99,17.00,0,0,0,2,2,4,0.00,14.51,-7.25,3.00,1.10,0.00,0.00,0.000,0.00,-12.78,2.75,10,0.000,1.001,14.52,-0.95,-0.012,1.000
10558,19.41,0.00,-11.83,8,0.18,1054,0.00,0.00,0.8080,1.79,1.0000,11.99,17.00,0,0,0,2,2,4,0.00,14.51,-7.25,2.89,1.10,0.00,0.00,0.000,6.77,-12.78,2.75,10,0.000,1.001,14.52,-0.95,-0.012,1.000
10737,20.33,0.39,-11.83,8,0.18,1018,0.00,0.00,0.8090,1.79,1.0000,12.18,17.00,0,0,0,2,2,4,0.00,14.51,-7.25,2.92,1.10,0.00,0.00,0.000,1.50,-12.78,2.75,10,0.000,1.001,14.52,-0.95,-0.012,1.000
10917,19.52,0.78,-11.83,8,0.18,988,0.00,0.00,0.8065,1.79,1.0000,12.27,17.00,0,0,0,2,2,4,0.00,14.51,-7.25,3.19,1.14,0.00,0.00,0.000,6.82,-12.78,2.75,10,0.000,1.001,14.52,-0.95,-0.012,0.992
11097,18.26,0.39,-11.83,8,0.19,1044,0.00,0.00,0.8130,1.79,1.0000,12.91,14.50,0,0,0,2,2,4,0.00,14.51,-7.25,3.24,1.14,0.00,0.00,0.000,3.58,-12.78,3.14,10,0.000,1.001,14.52,-0.95,-0.012,0.808
11275,17.92,0.39,-11.83,8,0.19,1033,0.00,0.00,0.8080,1.79,1.0000,12.65,17.00,0,0,0,2,2,4,0.00,14.51,-7.25,3.11,1.12,0.00,0.00,0.000,19.63,-12.78,3.14,10,-0.122,1.001,14.52,-0.95,-0.012,0.632
11455,17.23,3.53,-11.83,8,0.19,1023,0.00,0.00,0.8050,1.79,1.0000,12.57,12.50,0,0,0,2,2,4,0.00,14.51,-7.25,4.25,1.22,0.00,0.00,0.000,19.61,-12.78,3.92,10,0.000,1.001,14.52,-0.95,-0.012,0.456
11634,16.77,4.71,-11.83,8,0.22,1048,0.00,0.00,0.8050,2.05,1.0000,13.10,13.00,0,0,0,2,2,4,0.00,14.51,-7.25,2.76,1.30,0.00,0.00,0.000,41.85,-12.78,4.31,10,0.122,1.001,14.52,-0.96,-0.012,0.272
11813,16.42,7.45,-11.83,8,0.26,1120,0.00,0.00,0.8080,2.30,1.0000,16.52,16.00,0,0,0,2,2,4,0.00,14.51,-7.25,6.32,1.36,0.00,0.00,0.000,44.42,-12.78,5.88,10,0.000,1.001,14.52,-0.95,-0.012,0.096
11992,15.96,7.45,-11.83,8,0.30,1080,0.00,0.00,0.8105,2.56,1.0000,19.01,19.00,1,0,0,2,2,4,0.00,14.51,-7.25,6.71,1.38,0.00,0.00,0.000,44.75,-12.78,6.67,10,0.000,1.001,14.52,-0.95,-0.012,0.000
12170,15.16,7.84,-11.83,8,0.33,1102,0.00,0.00,0.8080,2.82,1.0000,20.96,20.50,1,0,0,2,2,4,0.00,14.51,-7.25,6.63,1.40,0.00,0.00,0.000,69.85,-12.78,6.67,10,-0.122,1.001,14.52,-0.95,-0.012,0.000
12349,14.01,12.55,-11.72,8,0.36,1186,0.00,0.00,0.8060,3.07,1.0000,23.87,23.50,1,0,0,2,2,4,0.00,14.51,-7.25,10.39,1.60,0.00,0.00,0.000,99.41,-12.67,8.63,10,0.000,1.001,14.52,-0.95,-0.012,0.000
12528,12.63,12.55,-11.62,8,0.45,1244,0.00,0.00,0.8080,3.33,1.0000,24.94,24.00,1,1,0,2,2,4,0.00,14.51,-7.25,12.71,1.68,0.00,0.00,0.000,106.41,-12.80,11.37,10,0.000,1.001,14.52,-0.95,-0.012,0.000
12707,12.63,12.94,-11.50,8,0.53,1242,0.00,0.00,0.8130,3.84,1.0000,24.34,23.50,1,1,0,2,2,4,0.50,14.51,-7.25,12.16,1.64,0.00,0.00,0.000,83.74,-12.44,12.16,10,0.000,1.001,14.52,-0.95,-0.012,0.000
12886,13.09,10.98,-11.09,8,0.56,1377,0.00,0.00,0.8530,4.10,1.0000,26.28,24.50,1,1,0,2,2,4,0.00,14.51,-7.25,11.70,1.66,0.00,0.00,0.000,105.56,-12.04,9.80,10,-0.122,1.001,14.52,-0.95,-0.012,0.000
13065,12.40,13.33,-10.50,8,0.54,1389,0.00,0.00,0.8080,3.58,1.0000,25.77,24.50,1,1,0,2,2,4,1.00,14.51,-7.25,15.42,1.80,0.00,0.00,0.000,117.03,-11.45,12.94,11,0.000,1.001,14.52,-0.95,-0.012,0.000
13244,12.29,16.86,-7.77,8,0.63,1534,0.00,0.00,0.8080,3.58,1.0000,26.16,25.50,0,1,0,2,2,4,2.50,14.51,-7.25,25.11,2.06,0.00,0.00,0.000,155.21,-8.72,16.47,12,1.099,1.001,14.52,-0.95,-0.012,0.000
13423,14.01,16.47,-7.36,8,0.80,1630,0.00,0.00,0.8120,4.61,1.0000,22.50,23.00,0,1,0,2,2,4,3.00,14.51,-7.25,22.70,2.00,0.00,0.00,0.000,156.91,-8.46,19.22,12,0.122,1.001,14.52,-0.95,-0.012,0.000
13602,15.39,16.47,-6.93,8,0.81,1743,0.00,0.00,0.8140,5.12,1.0000,24.70,25.00,0,1,0,2,2,4,3.00,14.51,-7.25,23.35,2.02,0.78,9.02,6.534,159.13,-7.88,19.61,12,-0.122,1.001,14.52,-0.95,-0.012,0.000
13780,14.24,16.86,-6.12,8,0.80,1845,0.00,0.00,0.8060,4.86,1.0000,27.08,27.00,0,1,0,2,2,4,2.50,14.51,-7.25,26.12,2.08,12.16,16.47,21.614,178.95,-7.06,20.00,12,0.000,1.001,14.52,-0.94,-0.012,0.000
13960,14.47,21.57,-2.97,8,0.83,1992,0.00,0.00,0.8270,4.86,1.0000,27.40,28.00,0,0,0,2,2,4,3.00,14.51,-7.25,31.02,2.20,23.53,29.02,33.059,207.69,-3.92,24.71,13,0.610,1.001,14.52,-0.95,-0.012,0.112
14137,15.16,21.57,-1.94,8,0.89,2102,0.00,0.00,0.8355,5.38,1.0000,28.42,28.50,0,0,0,2,2,4,2.50,14.51,-7.25,33.22,2.18,39.22,42.35,48.240,207.93,-2.88,28.63,13,-0.244,1.001,14.52,-0.95,-0.012,0.288
14316,14.24,21.57,0.05,8,0.87,2244,0.00,0.00,0.8555,5.38,1.0000,29.95,30.00,3,3,0,2,2,4,2.50,14.51,-7.25,34.18,2.26,49.02,45.88,51.940,236.77,-1.82,25.88,13,-0.122,1.001,14.52,-0.95,-0.012,0.464
14495,14.01,26.27,1.22,8,0.91,2369,0.00,0.00,0.8220,5.12,1.0000,28.05,29.00,9,9,0,2,2,4,2.50,14.51,-7.25,38.92,2.34,53.33,48.63,54.334,255.48,0.28,28.63,15,0.122,1.001,14.52,-0.95,-0.012,0.648
14674,14.81,26.67,3.51,8,0.95,2547,0.00,0.00,0.8060,5.38,1.0000,27.13,27.50,13,13,0,2,2,4,2.50,14.51,-7.25,41.18,2.38,55.69,50.59,57.770,260.37,2.56,28.63,15,0.000,1.001,14.52,-0.95,-0.012,0.824
14855,14.36,28.63,5.65,8,0.96,2647,0.00,0.00,0.8205,5.63,1.0000,27.25,27.50,18,17,0,2,2,4,2.50,14.51,-7.25,43.46,2.42,59.22,52.94,60.353,266.53,4.70,28.63,15,0.000,1.001,14.52,-0.95,-0.012,1.000
15032,14.13,30.98,8.45,8,0.98,2831,0.00,0.00,0.8085,5.63,1.0000,26.66,27.00,23,23,0,2,2,4,2.50,14.51,-7.25,47.17,2.48,61.18,63.53,63.522,278.62,7.51,29.02,15,0.000,1.001,14.52,-0.95,-0.012,1.000
15212,14.36,35.29,9.72,8,0.99,2948,0.00,0.00,0.8115,5.63,1.0000,25.46,26.00,25,25,0,2,2,4,2.00,14.51,-7.25,49.03,2.52,63.92,63.92,63.938,285.99,8.79,30.20,15,0.000,1.001,14.52,-0.95,-0.012,1.000
15391,14.47,38.82,11.84,8,0.99,3094,0.00,0.00,0.8100,5.63,1.0000,25.37,25.50,25,26,0,2,2,4,1.50,14.51,-7.25,51.86,2.54,63.92,63.92,63.938,293.28,10.89,31.76,15,0.122,1.001,14.52,-0.95,-0.012,1.000
15570,14.47,43.53,13.98,8,0.99,3256,0.00,0.00,0.8505,5.63,1.0000,24.06,24.00,25,25,0,2,2,4,1.50,14.51,-7.25,55.07,2.60,63.92,63.92,63.938,304.47,13.03,33.33,15,0.366,1.001,14.52,-0.95,-0.012,1.000
15748,14.70,48.63,15.77,8,1.02,3402,0.00,0.00,0.8273,5.89,1.0000,22.90,23.00,24,25,0,2,2,4,2.00,14.51,-7.25,59.15,2.66,63.92,63.53,63.431,305.59,14.82,37.25,15,0.244,1.001,14.52,-0.95,-0.012,1.000
15927,15.04,49.41,17.06,8,1.04,3541,0.00,0.00,0.8355,6.14,1.0000,22.39,22.50,22,24,0,2,2,4,2.00,14.51,-7.25,63.73,2.72,63.14,62.75,62.639,308.60,16.11,39.22,15,0.366,1.001,14.52,-0.95,-0.012,1.000
16106,14.81,52.16,17.67,8,1.06,3717,0.00,0.00,0.8115,6.40,1.0000,22.23,22.50,20,21,0,2,2,4,2.50,14.51,-7.25,66.75,2.78,62.35,61.96,61.775,308.85,16.73,43.14,15,0.122,1.001,14.52,-0.95,-0.012,1.000
16285,14.13,52.16,17.67,8,1.08,3810,0.00,0.00,0.8235,6.40,1.0000,23.05,23.50,17,19,0,2,2,4,2.00,14.51,-7.25,69.00,2.78,61.96,61.18,61.241,309.94,16.73,41.96,15,0.122,1.001,14.52,-0.95,-0.012,1.000
16464,14.13,56.47,17.67,8,1.07,4059,0.00,0.00,0.8220,6.14,1.0000,24.66,25.00,16,15,0,2,2,4,2.00,14.51,-7.25,73.80,2.86,61.18,60.39,60.234,314.98,16.73,42.35,15,0.122,1.001,14.52,-0.95,-0.012,1.000
16645,14.47,59.22,17.67,8,1.10,4148,0.00,0.00,0.8300,6.14,1.0000,23.36,24.50,14,13,0,2,2,4,2.50,14.51,-7.25,78.28,2.92,60.00,59.22,59.338,314.75,16.73,42.75,15,0.244,1.001,14.52,-0.95,-0.012,1.000
