Time (msec),A/F Sensor #1 (AFR),Accelerator Pedal Angle (%),Boost Error* (psi),CL/OL Fueling* (status),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),Feedback Knock Correction (1-byte)** (degrees),Fine Learning Knock Correction (degrees),Fuel Injector #1 Latency (4-byte)* (ms),Fuel Injector #1 Pulse Width (ms),IAM (4-byte)* (multiplier),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake VVT Advance Angle Left (degrees),Intake VVT Advance Angle Right (degrees),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Learned Ignition Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Open Loop Map Enrichment (2-byte)** (estimated AFR),Primary WGDC Maximum (1-byte)** (%),Primary Wastegate Duty Cycle (%),Primary Wastegate Duty Maximum* (4-byte)* (%),Requested Torque* (raw ecu value),Target Boost Relative (4-byte)* (psi relative),Throttle Opening Angle (%),Tip-in Enrichment (Last Calculated)* (raw ecu value),Tip-in Throttle* (%)
0,14.70,0.00,-11.81,7,0.32,1167,0.00,0.00,0.8010,2.30,1.0000,16.61,4.50,10,1,0,0,0,0,0.00,14.51,-7.25,6.14,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,6.27,0,0.000
154,14.59,0.00,-11.80,7,0.32,1158,0.00,0.00,0.8050,2.30,1.0000,16.60,4.50,10,1,0,0,0,0,0.00,14.51,-7.25,6.14,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,6.27,0,0.000
309,14.59,0.00,-11.81,7,0.32,1167,0.00,0.00,0.8060,2.56,1.0000,16.59,4.00,10,1,0,0,0,0,0.00,14.51,-7.25,6.17,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,6.27,0,0.000
463,14.59,0.00,-11.79,7,0.32,1170,0.00,0.00,0.8000,2.56,1.0000,16.59,3.50,10,1,0,0,0,0,0.00,14.51,-7.25,6.17,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,6.27,0,0.000
616,14.59,0.00,-11.80,7,0.32,1170,0.00,0.00,0.8080,2.56,1.0000,16.58,3.50,10,1,0,0,0,0,0.00,14.51,-7.25,6.17,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,6.27,0,0.000
770,14.59,0.00,-11.81,7,0.32,1160,0.00,0.00,0.8037,2.56,1.0000,16.58,3.00,10,1,0,0,0,0,0.00,14.51,-7.25,6.21,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,6.27,0,0.000
924,14.59,0.00,-11.80,7,0.32,1166,0.00,0.00,0.8060,2.56,1.0000,16.57,3.00,10,1,0,0,0,0,0.00,14.51,-7.25,6.21,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,6.27,0,0.000
1078,14.59,0.00,-11.81,7,0.33,1170,0.00,0.00,0.8037,2.56,1.0000,16.56,2.50,10,1,0,0,0,0,0.00,14.51,-7.25,6.21,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,6.27,0,0.000
1232,14.59,0.00,-11.81,7,0.32,1177,0.00,0.00,0.8050,2.56,1.0000,16.56,2.00,10,1,0,0,0,0,0.00,14.51,-7.25,6.28,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,6.27,0,0.000
1386,14.59,0.00,-11.80,7,0.33,1158,0.00,0.00,0.8027,2.56,1.0000,16.55,2.00,10,1,0,0,0,0,0.00,14.51,-7.25,6.32,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,6.67,0,0.000
1540,14.59,0.00,-11.81,7,0.33,1154,0.00,0.00,0.8037,2.56,1.0000,16.54,2.00,10,1,0,0,0,0,0.00,14.51,-7.25,6.36,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,6.67,0,0.000
1693,14.59,0.00,-11.80,7,0.33,1156,0.00,0.00,0.8050,2.56,1.0000,16.54,2.00,10,1,0,0,0,0,0.00,14.51,-7.25,6.36,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,6.67,0,0.000
1847,14.59,0.00,-11.81,7,0.33,1167,0.00,0.00,0.8037,2.56,1.0000,16.53,1.50,10,1,0,0,0,0,0.00,14.51,-7.25,6.40,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,6.67,0,0.000
2001,14.59,0.00,-11.79,7,0.33,1159,0.00,0.00,0.8050,2.56,1.0000,16.52,1.00,10,1,0,0,0,0,0.00,14.51,-7.25,6.44,1.38,14.70,0.00,0.00,0.000,0.00,-12.78,6.67,0,0.000
2156,14.47,0.00,-11.81,7,0.34,1160,0.00,0.00,0.8037,2.56,1.0000,16.52,1.00,10,1,0,0,0,0,0.00,14.51,-7.25,6.44,1.38,14.70,0.00,0.00,0.000,0.00,-12.78,6.67,0,0.000
2310,14.59,0.00,-11.80,7,0.34,1164,0.00,0.00,0.8027,2.56,1.0000,16.51,0.50,10,1,0,0,0,0,0.00,14.51,-7.25,6.44,1.38,14.70,0.00,0.00,0.000,0.00,-12.78,6.67,0,0.000
2464,14.47,0.00,-11.81,7,0.34,1148,0.00,0.00,0.8010,2.56,1.0000,16.51,0.50,10,1,0,0,0,0,0.00,14.51,-7.25,6.44,1.38,14.70,0.00,0.00,0.000,0.00,-12.78,6.67,0,0.000
2617,14.47,0.00,-11.81,7,0.34,1149,0.00,0.00,0.8017,2.56,1.0000,16.49,0.00,10,1,0,0,0,0,0.00,14.51,-7.25,6.44,1.38,14.70,0.00,0.00,0.000,0.00,-12.78,6.67,0,0.000
2772,14.47,0.00,-11.80,7,0.34,1142,0.00,0.00,0.8027,2.56,1.0000,16.49,-0.50,10,1,0,0,0,0,0.00,14.51,-7.25,6.44,1.38,14.70,0.00,0.00,0.000,0.00,-12.78,6.67,0,0.000
2926,14.47,0.00,-11.80,7,0.34,1128,0.00,0.00,0.8017,2.56,1.0000,16.49,0.00,10,1,0,0,0,0,0.00,14.51,-7.25,6.44,1.38,14.70,0.00,0.00,0.000,0.00,-12.78,6.67,0,0.000
3080,14.47,0.00,-11.81,7,0.34,1126,0.00,0.00,0.8017,2.56,1.0000,16.48,-0.50,10,1,0,0,0,0,0.00,14.51,-7.25,6.40,1.38,14.70,0.00,0.00,0.000,0.00,-12.78,6.67,0,0.000
3233,14.47,0.00,-11.81,7,0.34,1120,0.00,0.00,0.8037,2.56,1.0000,16.48,-1.00,10,1,0,0,0,0,0.00,14.51,-7.25,6.44,1.38,14.70,0.00,0.00,0.000,0.00,-12.78,6.67,0,0.000
3387,14.47,0.00,-11.81,7,0.35,1130,0.00,0.00,0.8017,2.56,1.0000,16.47,-1.00,10,1,0,0,0,0,0.00,14.51,-7.25,6.44,1.38,14.70,0.00,0.00,0.000,0.00,-12.78,6.67,0,0.000
3541,14.47,0.00,-11.80,7,0.35,1117,0.00,0.00,0.8057,2.56,1.0000,16.46,-0.50,10,1,0,0,0,0,0.00,14.51,-7.25,6.40,1.38,14.70,0.00,0.00,0.000,0.00,-12.78,6.67,0,0.000
3695,14.47,0.00,-11.81,7,0.35,1118,0.00,0.00,0.8017,2.56,1.0000,16.46,-0.50,10,1,0,0,0,0,0.00,14.51,-7.25,6.40,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,6.67,0,0.000
3849,14.36,0.00,-11.81,7,0.35,1134,0.00,0.00,0.8017,2.56,1.0000,16.46,-0.50,10,1,0,0,0,0,0.00,14.51,-7.25,6.32,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,6.67,0,0.000
4003,14.36,0.00,-11.80,7,0.35,1138,0.00,0.00,0.8027,2.56,1.0000,16.46,-1.00,10,1,0,0,0,0,0.00,14.51,-7.25,6.28,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,6.27,0,0.000
4157,14.36,0.00,-11.81,7,0.34,1134,0.00,0.00,0.8020,2.56,1.0000,16.45,-1.00,10,1,0,0,0,0,0.00,14.51,-7.25,6.25,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,6.27,0,0.000
4311,14.47,0.00,-11.79,7,0.34,1130,0.00,0.00,0.8037,2.56,1.0000,16.44,-1.00,10,1,0,0,0,0,0.00,14.51,-7.25,6.14,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,6.27,0,0.000
4466,14.47,0.00,-11.80,7,0.34,1116,0.00,0.00,0.8027,2.56,1.0000,16.44,-1.00,10,1,0,0,0,0,0.00,14.51,-7.25,6.14,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,6.27,0,0.000
4619,14.59,0.00,-11.79,7,0.34,1105,0.00,0.00,0.8027,2.56,1.0000,16.43,-1.00,10,1,0,0,0,0,0.00,14.51,-7.25,6.06,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,6.27,0,0.000
4772,14.59,0.00,-11.80,7,0.34,1101,0.00,0.00,0.8017,2.56,1.0000,16.43,-0.50,10,1,0,0,0,0,0.00,14.51,-7.25,6.06,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,6.27,0,0.000
4927,14.59,0.00,-11.81,7,0.34,1098,0.00,0.00,0.8027,2.56,1.0000,16.43,-0.50,10,1,0,0,0,0,0.00,14.51,-7.25,6.03,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,6.27,0,0.000
5080,14.59,0.00,-11.79,7,0.34,1105,0.00,0.00,0.8037,2.56,1.0000,16.43,0.00,10,1,0,0,0,0,0.00,14.51,-7.25,6.03,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,6.27,0,0.000
5235,14.59,0.00,-11.80,7,0.34,1097,0.00,0.00,0.8037,2.56,1.0000,16.43,-0.50,10,1,0,0,0,0,0.00,14.51,-7.25,5.95,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
5389,14.59,0.00,-11.80,7,0.34,1085,0.00,0.00,0.8017,2.56,1.0000,16.43,0.00,10,1,0,0,0,0,0.00,14.51,-7.25,5.92,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
5544,14.59,0.00,-11.80,7,0.34,1090,0.00,0.00,0.8037,2.56,1.0000,16.41,-0.50,10,1,0,0,0,0,0.00,14.51,-7.25,5.92,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
5697,14.59,0.00,-11.81,7,0.34,1081,0.00,0.00,0.8027,2.56,1.0000,16.41,-0.50,10,1,0,0,0,0,0.00,14.51,-7.25,5.88,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
5851,14.59,0.00,-11.79,7,0.34,1078,0.00,0.00,0.8050,2.30,1.0000,16.41,0.00,8,1,0,0,0,0,0.00,14.51,-7.25,5.84,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
6006,14.70,0.00,-11.81,7,0.34,1070,0.00,0.00,0.8027,2.30,1.0000,16.41,0.00,1,0,0,0,0,0,0.00,14.51,-7.25,5.84,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
6159,14.59,0.00,-11.81,7,0.34,1072,0.00,0.00,0.8027,2.30,1.0000,16.40,0.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.81,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,-0.122
6313,14.59,0.00,-11.79,7,0.33,1075,0.00,0.00,0.8037,2.30,1.0000,16.40,0.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.81,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
6468,14.70,0.00,-11.81,7,0.33,1072,0.00,0.00,0.8017,2.30,1.0000,16.40,0.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.77,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
6621,14.70,0.00,-11.81,7,0.33,1071,0.00,0.00,0.8007,2.30,1.0000,16.40,0.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.73,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
6775,14.70,0.00,-11.81,7,0.33,1072,0.00,0.00,0.7998,2.30,1.0000,16.40,0.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.73,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
6929,14.70,0.00,-11.80,7,0.33,1088,0.00,0.00,0.7998,2.30,1.0000,16.40,0.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.73,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
7083,14.81,0.00,-11.80,7,0.33,1081,0.00,0.00,0.8027,2.30,1.0000,16.39,0.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.73,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
7237,14.70,0.00,-11.81,8,0.33,1061,0.00,0.00,0.8027,2.30,1.0000,16.39,0.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.70,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
7391,14.81,0.00,-11.79,8,0.33,1058,0.00,0.00,0.8017,2.30,1.0000,16.39,0.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.67,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,-0.122
7545,14.81,0.00,-11.79,8,0.33,1066,0.00,0.00,0.8017,2.30,1.0000,16.38,0.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.67,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
7699,14.93,0.00,-11.80,8,0.33,1056,0.00,0.00,0.8017,2.30,1.0000,16.38,0.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.67,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
7852,14.81,0.00,-11.80,8,0.33,1052,0.00,0.00,0.8007,2.30,1.0000,16.38,0.50,0,0,0,0,0,0,0.00,14.51,-7.25,5.60,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
8006,14.81,0.00,-11.81,8,0.33,1066,0.00,0.00,0.8010,2.30,1.0000,16.38,0.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.60,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
8161,14.81,0.00,-11.80,8,0.33,1052,0.00,0.00,0.8027,2.30,1.0000,16.38,1.50,0,0,0,0,0,0,0.00,14.51,-7.25,5.60,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
8314,14.70,0.00,-11.80,8,0.33,1058,0.00,0.00,0.8027,2.30,1.0000,16.38,2.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.63,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
8469,14.70,0.00,-11.81,8,0.33,1055,0.00,0.00,0.8027,2.30,1.0000,16.38,0.50,0,0,0,0,0,0,0.00,14.51,-7.25,5.70,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
8622,14.70,0.00,-11.81,8,0.33,1072,0.00,0.00,0.8027,2.30,1.0000,16.37,0.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.67,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
8776,14.70,0.00,-11.81,8,0.33,1067,0.00,0.00,0.8060,2.30,1.0000,16.37,0.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.70,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
8930,14.59,0.00,-11.81,8,0.33,1057,0.00,0.00,0.8037,2.30,1.0000,16.37,1.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.67,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
9084,14.70,0.00,-11.79,8,0.33,1068,0.00,0.00,0.8017,2.30,1.0000,16.37,0.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.67,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
9239,14.81,0.00,-11.80,8,0.33,1068,0.00,0.00,0.8017,2.30,1.0000,16.37,0.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.67,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
9392,14.93,0.00,-11.81,8,0.33,1055,0.00,0.00,0.8057,2.56,1.0000,16.37,1.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.67,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
9546,15.04,0.00,-11.79,8,0.33,1055,0.00,0.00,0.8060,2.56,1.0000,16.37,1.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.67,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
9700,14.93,0.00,-11.81,8,0.33,1067,0.00,0.00,0.8027,2.56,1.0000,16.37,0.50,0,0,0,0,0,0,0.00,14.51,-7.25,5.67,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
9854,14.70,0.00,-11.81,8,0.33,1060,0.00,0.00,0.8037,2.56,1.0000,16.37,0.50,0,0,0,0,0,0,0.00,14.51,-7.25,5.67,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
10008,14.59,0.00,-11.81,8,0.33,1067,0.00,0.00,0.8007,2.56,1.0000,16.37,1.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.67,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
10162,14.47,0.00,-11.80,8,0.33,1057,0.00,0.00,0.8027,2.56,1.0000,16.36,-0.50,0,0,0,0,0,0,0.00,14.51,-7.25,5.67,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,-0.122
10315,14.47,0.00,-11.81,8,0.33,1071,0.00,0.00,0.8037,2.56,1.0000,16.36,-0.50,0,0,0,0,0,0,0.00,14.51,-7.25,5.60,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
10470,14.47,0.00,-11.80,8,0.33,1072,0.00,0.00,0.8007,2.30,1.0000,16.35,1.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.56,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
10623,14.36,0.00,-11.79,8,0.33,1063,0.00,0.00,0.8037,2.30,1.0000,16.35,0.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.56,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
10778,14.36,0.00,-11.81,8,0.32,1066,0.00,0.00,0.8050,2.30,1.0000,16.35,0.50,0,0,0,0,0,0,0.00,14.51,-7.25,5.60,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
10931,14.36,0.00,-11.81,8,0.32,1068,0.00,0.00,0.8027,2.30,1.0000,16.35,0.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.56,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
11085,14.36,0.00,-11.81,8,0.32,1055,0.00,0.00,0.8000,2.30,1.0000,16.35,1.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.56,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
11239,14.36,0.00,-11.81,8,0.32,1054,0.00,0.00,0.8017,2.30,1.0000,16.35,1.50,0,0,0,0,0,0,0.00,14.51,-7.25,5.53,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
11394,14.47,0.00,-11.80,8,0.32,1058,0.00,0.00,0.8050,2.30,1.0000,16.35,1.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.56,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
11547,14.47,0.00,-11.81,8,0.32,1069,0.00,0.00,0.8037,2.30,1.0000,16.35,-0.50,0,0,0,0,0,0,0.00,14.51,-7.25,5.60,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
11701,14.36,0.00,-11.81,8,0.32,1063,0.00,0.00,0.8027,2.30,1.0000,16.34,1.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.56,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
11855,14.36,0.00,-11.80,8,0.32,1061,0.00,0.00,0.8017,2.30,1.0000,16.34,0.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.53,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
12009,14.36,0.00,-11.80,8,0.32,1072,0.00,0.00,0.8017,2.30,1.0000,16.33,-0.50,0,0,0,0,0,0,0.00,14.51,-7.25,5.56,1.32,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
12164,14.47,0.00,-11.80,8,0.32,1062,0.00,0.00,0.8037,2.30,1.0000,16.33,1.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.53,1.30,14.70,0.00,0.00,0.000,0.00,-12.78,5.88,0,0.000
12317,14.47,0.00,-11.81,8,0.32,1065,0.00,0.00,0.8007,2.30,1.0000,16.33,0.50,0,0,0,0,0,0,0.00,14.51,-7.25,5.49,1.30,14.70,0.00,0.00,0.000,0.00,-12.78,5.49,0,0.000
12472,14.47,0.00,-11.81,8,0.32,1069,0.00,0.00,0.8027,2.30,1.0000,16.33,-0.50,0,0,0,0,0,0,0.00,14.51,-7.25,5.49,1.30,14.70,0.00,0.00,0.000,0.00,-12.78,5.49,0,0.000
12625,14.47,0.00,-11.80,8,0.32,1067,0.00,0.00,0.8037,2.30,1.0000,16.33,0.50,0,0,0,0,0,0,0.00,14.51,-7.25,5.46,1.30,14.70,0.00,0.00,0.000,0.00,-12.78,5.49,0,0.000
12779,14.47,0.00,-11.81,8,0.32,1045,0.00,0.00,0.8007,2.30,1.0000,16.33,1.50,0,0,0,0,0,0,0.00,14.51,-7.25,5.43,1.30,14.70,0.00,0.00,0.000,0.00,-12.78,5.49,0,0.000
12933,14.47,0.00,-11.81,8,0.32,1043,0.00,0.00,0.8037,2.30,1.0000,16.32,1.50,0,0,0,0,0,0,0.00,14.51,-7.25,5.43,1.30,14.70,0.00,0.00,0.000,0.00,-12.78,5.49,0,0.000
13087,14.47,0.00,-11.80,8,0.32,1051,0.00,0.00,0.8010,2.30,1.0000,16.32,1.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.39,1.30,14.70,0.00,0.00,0.000,0.00,-12.78,5.49,0,0.000
13241,14.47,0.00,-11.81,8,0.32,1040,0.00,0.00,0.8037,2.30,1.0000,16.32,1.50,0,0,0,0,0,0,0.00,14.51,-7.25,5.39,1.30,14.70,0.00,0.00,0.000,0.00,-12.78,5.49,0,0.000
13395,14.47,0.00,-11.79,8,0.32,1045,0.00,0.00,0.8037,2.30,1.0000,16.32,1.50,0,0,0,0,0,0,0.00,14.51,-7.25,5.39,1.30,14.70,0.00,0.00,0.000,0.00,-12.78,5.49,0,0.000
13548,14.47,0.00,-11.80,8,0.32,1058,0.00,0.00,0.8007,2.30,1.0000,16.32,0.50,0,0,0,0,0,0,0.00,14.51,-7.25,5.39,1.30,14.70,0.00,0.00,0.000,0.00,-12.78,5.49,0,0.000
13702,14.47,0.00,-11.81,8,0.32,1056,0.00,0.00,0.8037,2.30,1.0000,16.32,0.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.36,1.30,14.70,0.00,0.00,0.000,0.00,-12.78,5.49,0,0.000
13856,14.47,0.00,-11.81,8,0.32,1038,0.00,0.00,0.8027,2.30,1.0000,16.32,1.50,0,0,0,0,0,0,0.00,14.51,-7.25,5.36,1.30,14.70,0.00,0.00,0.000,0.00,-12.78,5.49,0,0.000
14010,14.47,0.00,-11.80,8,0.32,1048,0.00,0.00,0.8050,2.30,1.0000,16.31,0.50,0,0,0,0,0,0,0.00,14.51,-7.25,5.32,1.30,14.70,0.00,0.00,0.000,0.00,-12.78,5.49,0,0.000
14165,14.47,0.00,-11.80,8,0.32,1047,0.00,0.00,0.8027,2.30,1.0000,16.31,0.50,0,0,0,0,0,0,0.00,14.51,-7.25,5.29,1.30,14.70,0.00,0.00,0.000,0.00,-12.78,5.49,0,0.000
14318,14.47,0.00,-11.80,8,0.32,1024,0.00,0.00,0.8050,2.30,1.0000,16.31,2.50,0,0,0,0,0,0,0.00,14.51,-7.25,5.22,1.28,14.70,0.00,0.00,0.000,0.00,-12.78,5.49,0,0.000
14472,14.59,0.00,-11.80,8,0.32,1035,0.00,0.00,0.8037,2.30,1.0000,16.30,2.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.22,1.28,14.70,0.00,0.00,0.000,0.00,-12.78,5.49,0,0.000
14626,14.59,0.00,-11.80,8,0.32,1025,0.00,0.00,0.8027,2.30,1.0000,16.30,1.50,0,0,0,0,0,0,0.00,14.51,-7.25,5.22,1.28,14.70,0.00,0.00,0.000,0.00,-12.78,5.49,0,0.000
14780,14.59,0.00,-11.81,8,0.32,1017,0.00,0.00,0.8037,2.30,1.0000,16.30,2.50,0,0,0,0,0,0,0.00,14.51,-7.25,5.22,1.28,14.70,0.00,0.00,0.000,0.00,-12.78,5.49,0,0.000
14935,14.59,0.00,-11.80,8,0.32,1028,0.00,0.00,0.8060,2.30,1.0000,16.30,1.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.25,1.28,14.70,0.00,0.00,0.000,0.00,-12.78,5.49,0,0.000
15088,14.59,0.00,-11.80,8,0.32,1016,0.00,0.00,0.8067,2.30,1.0000,16.30,2.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.25,1.28,14.70,0.00,0.00,0.000,0.00,-12.78,5.49,0,0.000
15242,14.59,0.00,-11.80,8,0.32,1025,0.00,0.00,0.8027,2.30,1.0000,16.30,1.50,0,0,0,0,0,0,0.00,14.51,-7.25,5.25,1.28,14.70,0.00,0.00,0.000,0.00,-12.78,5.49,0,0.000
15395,14.59,0.00,-11.80,8,0.32,1029,0.00,0.00,0.8080,2.30,1.0000,16.30,0.50,0,0,0,0,0,0,0.00,14.51,-7.25,5.25,1.28,14.70,0.00,0.00,0.000,0.00,-12.78,5.49,0,0.000
15550,14.47,0.00,-11.80,8,0.32,1018,0.00,0.00,0.8060,2.30,1.0000,16.29,1.50,0,0,0,0,0,0,0.00,14.51,-7.25,5.25,1.28,14.70,0.00,0.00,0.000,0.00,-12.78,5.49,0,0.000
15704,14.47,0.00,-11.79,8,0.32,1026,0.00,0.00,0.8010,2.30,1.0000,16.29,1.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.22,1.28,14.70,0.00,0.00,0.000,0.00,-12.78,5.49,0,0.000
15857,14.47,0.00,-11.79,8,0.32,1028,0.00,0.00,0.8037,2.30,1.0000,16.28,0.50,0,0,0,0,0,0,0.00,14.51,-7.25,5.25,1.28,14.70,0.00,0.00,0.000,0.00,-12.78,5.49,0,0.000
16011,14.47,0.00,-11.80,8,0.32,1016,0.00,0.00,0.8027,2.30,1.0000,16.28,1.50,0,0,0,0,0,0,0.00,14.51,-7.25,5.22,1.28,14.70,0.00,0.00,0.000,0.00,-12.78,5.49,0,0.000
16165,14.47,0.00,-11.80,8,0.32,1034,0.00,0.00,0.8010,2.30,1.0000,16.28,0.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.22,1.28,14.70,0.00,0.00,0.000,0.00,-12.78,5.49,0,0.000
16319,14.47,0.00,-11.80,8,0.32,1022,0.00,0.00,0.8010,2.30,1.0000,16.28,1.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.22,1.28,14.70,0.00,0.00,0.000,0.00,-12.78,5.49,0,0.000
16473,14.47,0.00,-11.79,8,0.32,1012,0.00,0.00,0.8037,2.30,1.0000,16.28,1.00,0,0,0,0,0,0,0.00,14.51,-7.25,5.22,1.28,14.70,0.00,0.00,0.000,0.00,-12.78,5.49,0,0.000
