Time (msec),A/F Sensor #1 (AFR),Boost Error* (psi),CL/OL Fueling* (status),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),Feedback Knock Correction (1-byte)** (degrees),Fine Learning Knock Correction (degrees),Fuel Injector #1 Latency (4-byte)* (ms),Fuel Injector #1 Pulse Width (ms),IAM (4-byte)* (multiplier),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake VVT Advance Angle Left (degrees),Intake VVT Advance Angle Right (degrees),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Learned Ignition Timing (degrees),Manifold Absolute Pressure (4-byte)* (psi absolute),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Open Loop Map Enrichment (2-byte)** (estimated AFR),Primary WGDC Maximum (1-byte)** (%),Primary Wastegate Duty Cycle (%),Primary Wastegate Duty Maximum* (4-byte)* (%),Requested Torque* (raw ecu value),Target Boost Relative (4-byte)* (psi relative),Throttle Plate Opening Angle (4-byte)* (%),Tip-in Enrichment (Last Calculated)* (raw ecu value),Tip-in Throttle* (%)
2280,18.15,-11.83,7,0.22,680,0.00,0.00,0.8280,2.05,1.0000,11.99,11.50,0,0,0,0,0,0,0.00,14.52,2.47,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
2443,18.15,-11.83,7,0.22,691,0.00,0.00,0.8230,2.05,1.0000,11.99,10.00,0,0,0,0,0,0,0.00,14.52,2.47,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
2607,18.15,-11.83,7,0.22,686,0.00,0.00,0.8205,2.05,1.0000,11.99,11.50,0,0,0,0,0,0,0.00,14.52,2.47,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
2769,18.15,-11.83,7,0.22,693,0.00,0.00,0.8255,2.05,1.0000,11.99,12.00,0,0,0,0,0,0,0.00,14.52,2.47,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
2932,18.03,-11.85,7,0.22,700,0.00,0.00,0.8205,2.05,1.0000,11.99,12.50,0,0,0,0,0,0,0.00,14.52,2.47,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
3095,18.03,-11.83,7,0.22,708,0.00,0.00,0.8205,2.05,1.0000,11.99,11.00,0,0,0,0,0,0,0.00,14.52,2.47,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
3257,18.03,-11.83,7,0.22,692,0.00,0.00,0.8205,2.05,1.0000,11.99,12.00,0,0,0,0,0,0,0.00,14.52,2.47,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.122
3420,18.03,-11.83,7,0.22,680,0.00,0.00,0.8280,2.05,1.0000,11.99,11.50,0,0,0,0,0,0,0.00,14.52,2.66,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
3583,18.15,-11.83,7,0.23,669,0.00,0.00,0.8280,2.30,1.0000,11.99,13.00,0,0,0,0,0,0,0.00,14.52,2.97,1.10,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
3747,18.15,-11.83,7,0.25,670,0.00,0.00,0.8205,2.30,1.0000,12.09,12.50,0,0,0,0,0,0,0.00,14.52,3.08,1.12,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
3909,18.26,-11.83,7,0.26,690,0.00,0.00,0.8330,2.30,1.0000,11.99,13.00,0,0,0,0,0,0,0.00,14.52,3.24,1.14,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
4072,18.26,-11.83,7,0.27,714,0.00,0.00,0.8255,2.30,1.0000,11.99,11.00,0,0,0,0,0,0,0.00,14.52,3.36,1.14,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.122
4235,18.15,-11.83,7,0.27,755,0.00,0.00,0.8180,2.56,1.0000,11.99,7.50,0,0,0,0,0,0,0.00,14.52,3.46,1.16,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
4398,18.03,-11.83,7,0.28,771,0.00,0.00,0.8255,2.56,1.0000,11.99,5.50,0,0,0,0,0,0,0.00,14.52,3.52,1.16,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
4560,17.80,-11.83,7,0.28,786,0.00,0.00,0.8205,2.56,1.0000,11.99,3.50,0,0,0,0,0,0,0.00,14.52,3.33,1.14,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
4724,17.57,-11.83,7,0.26,814,0.00,0.00,0.8205,2.30,1.0000,11.99,3.00,0,0,0,0,0,0,0.00,14.52,2.92,1.12,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.122
4886,17.23,-11.83,7,0.25,810,0.00,0.00,0.8230,2.30,1.0000,12.26,3.00,0,0,0,0,0,0,0.00,14.52,3.03,1.10,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
5049,17.00,-11.83,7,0.25,803,0.00,0.00,0.8130,2.30,1.0000,12.05,5.50,0,0,0,0,0,0,0.00,14.52,3.24,1.14,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
5212,16.88,-11.83,7,0.25,800,0.00,0.00,0.8205,2.30,1.0000,12.16,7.00,0,0,0,0,0,0,0.00,14.52,3.27,1.14,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
5375,17.00,-11.83,7,0.25,816,0.00,0.00,0.8205,2.30,1.0000,12.24,6.50,0,0,0,0,0,0,0.00,14.52,3.24,1.14,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
5538,17.00,-11.83,7,0.25,800,0.00,0.00,0.8205,2.30,1.0000,12.17,7.00,0,0,0,0,0,0,0.00,14.52,3.24,1.14,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
5701,17.00,-11.83,7,0.25,786,0.00,0.00,0.8255,2.30,1.0000,12.20,9.50,0,0,0,0,0,0,0.00,14.52,3.21,1.14,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
5865,17.11,-11.83,7,0.25,807,0.00,0.00,0.8155,2.30,1.0000,12.17,7.00,0,0,0,0,0,0,0.00,14.52,3.13,1.12,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
6027,17.11,-11.83,7,0.25,804,0.00,0.00,0.8230,2.30,1.0000,11.99,9.00,0,0,0,0,0,0,0.00,14.52,3.08,1.12,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
6190,17.11,-11.83,7,0.24,800,0.00,0.00,0.8205,2.30,1.0000,11.76,9.50,0,0,0,0,0,0,0.00,14.52,3.05,1.12,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
6354,17.11,-11.83,7,0.24,791,0.00,0.00,0.8255,2.30,1.0000,11.71,10.50,0,0,0,0,0,0,0.00,14.52,3.05,1.12,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
6517,17.11,-11.83,8,0.24,793,0.00,0.00,0.8205,2.30,1.0000,11.99,9.00,0,0,0,0,0,0,0.00,14.52,3.03,1.12,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
6680,17.00,-11.83,8,0.24,801,0.00,0.00,0.8155,2.30,1.0000,11.99,8.50,0,0,0,0,0,0,0.00,14.52,2.97,1.12,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
6843,17.00,-11.83,8,0.23,798,0.00,0.00,0.8255,2.30,1.0000,11.99,8.50,0,0,0,0,0,0,0.00,14.52,2.92,1.10,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
7005,17.00,-11.83,8,0.23,808,0.00,0.00,0.8305,2.30,1.0000,11.99,10.00,0,0,0,0,0,0,0.00,14.52,2.86,1.10,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
7167,16.77,-11.83,8,0.23,820,0.00,0.00,0.8280,2.30,1.0000,11.99,8.50,0,0,0,0,0,0,0.00,14.52,2.86,1.10,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
7331,16.65,-11.83,8,0.22,818,0.00,0.00,0.8205,2.30,1.0000,11.99,7.00,0,0,0,0,0,0,0.00,14.52,2.81,1.10,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
7493,16.31,-11.83,8,0.22,816,0.00,0.00,0.8305,2.30,1.0000,11.99,8.00,0,0,0,0,0,0,0.00,14.52,2.69,1.08,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
7656,15.96,-11.83,8,0.21,769,0.00,0.00,0.8180,2.30,1.0000,11.99,7.00,0,0,0,0,0,0,0.00,14.52,2.64,1.08,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,-0.122
7819,15.73,-11.83,8,0.21,832,0.00,0.00,0.8205,2.30,1.0000,11.99,9.00,0,0,0,0,0,0,0.00,14.52,2.66,1.08,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,-0.122
7982,15.50,-11.83,8,0.20,887,0.00,0.00,0.8205,2.30,1.0000,11.99,9.00,0,0,0,0,0,0,0.00,14.52,2.66,1.08,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
8145,15.39,-11.83,8,0.20,826,0.00,0.00,0.8255,2.30,1.0000,11.99,8.50,0,0,0,0,0,0,0.00,14.52,2.56,1.08,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,-0.122
8309,15.39,-11.83,8,0.20,829,0.00,0.00,0.8280,2.30,1.0000,11.99,9.00,0,0,0,0,0,0,0.00,14.52,2.54,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
8471,15.27,-11.83,8,0.20,819,0.00,0.00,0.8180,2.05,1.0000,11.99,10.50,0,0,0,0,0,0,0.00,14.52,2.52,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
8635,15.39,-11.83,8,0.19,810,0.00,0.00,0.8255,2.05,1.0000,11.99,11.50,0,0,0,0,0,0,0.00,14.52,2.52,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
8796,15.39,-11.83,8,0.19,797,0.00,0.00,0.8330,2.30,1.0000,11.99,13.00,0,0,0,0,0,0,0.00,14.52,2.49,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
8959,15.39,-11.83,8,0.19,806,0.00,0.00,0.8230,2.30,1.0000,11.99,12.00,0,0,0,0,0,0,0.00,14.52,2.44,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,-0.122
9123,15.39,-11.83,8,0.19,812,0.00,0.00,0.8280,2.30,1.0000,11.99,12.00,0,0,0,0,0,0,0.00,14.52,2.40,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
9286,15.39,-11.83,8,0.19,819,0.00,0.00,0.8230,2.05,1.0000,11.99,12.50,0,0,0,0,0,0,0.00,14.52,2.40,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
9449,15.39,-11.83,8,0.19,800,0.00,0.00,0.8180,2.05,1.0000,11.99,13.50,0,0,0,0,0,0,0.00,14.52,2.38,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
9611,15.27,-11.83,8,0.19,792,0.00,0.00,0.8280,2.05,1.0000,11.99,12.50,0,0,0,0,0,0,0.00,14.52,2.36,1.04,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
9774,15.16,-11.83,8,0.19,791,0.00,0.00,0.8205,2.05,1.0000,11.99,13.00,0,0,0,0,0,0,0.00,14.52,2.34,1.04,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
9937,15.16,-11.83,8,0.18,796,0.00,0.00,0.8280,2.05,1.0000,11.99,12.50,0,0,0,0,0,0,0.00,14.52,2.36,1.04,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,-0.122
10100,15.16,-11.83,8,0.18,800,0.00,0.00,0.8255,2.05,1.0000,11.99,13.00,0,0,0,0,0,0,0.00,14.52,2.32,1.04,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
10262,15.16,-11.83,8,0.18,798,0.00,0.00,0.8230,2.05,1.0000,11.99,13.50,0,0,0,0,0,0,0.00,14.52,2.31,1.04,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
10425,15.27,-11.83,8,0.18,789,0.00,0.00,0.8330,2.05,1.0000,11.99,13.50,0,0,0,0,0,0,0.00,14.52,2.29,1.04,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
10588,15.27,-11.83,8,0.18,782,0.00,0.00,0.8305,2.05,1.0000,11.99,14.00,0,0,0,0,0,0,0.00,14.52,2.27,1.04,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
10751,15.39,-11.86,8,0.18,824,0.00,0.00,0.8230,2.05,1.0000,11.99,14.50,0,0,0,0,0,0,0.00,14.55,2.27,1.04,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
10914,15.50,-11.85,8,0.18,761,0.00,0.00,0.8230,2.05,1.0000,11.99,14.50,0,0,0,0,0,0,0.00,14.53,2.25,1.04,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
11077,15.62,-11.85,8,0.18,752,0.00,0.00,0.8330,2.05,1.0000,11.99,15.00,0,0,0,0,0,0,0.00,14.53,2.24,1.04,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
11240,15.73,-11.85,8,0.18,736,0.00,0.00,0.8355,2.05,1.0000,10.62,15.50,0,0,0,0,0,0,0.00,14.53,0.28,1.04,14.70,0.00,0.00,0.000,39.23,-12.78,0.30,11,2.441
11403,15.73,-11.83,8,0.79,657,0.00,0.00,0.8330,5.12,1.0000,12.62,15.50,0,0,0,0,0,0,0.00,14.52,24.03,2.06,14.70,0.00,0.00,0.000,167.16,-12.78,56.28,9,-0.488
11566,16.88,-11.83,8,0.79,890,0.00,0.00,0.8080,6.66,1.0000,14.31,13.50,2,1,0,0,0,0,6.00,14.52,3.17,1.28,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,9,-0.122
11728,14.81,-34.96,8,0.51,1158,0.00,0.00,0.8180,4.86,1.0000,15.09,3.50,0,0,0,0,0,0,1.50,14.52,6.47,1.06,14.70,0.00,0.00,0.000,40.25,-12.78,0.00,14,3.540
11891,12.98,-7.33,8,0.79,1404,0.00,0.00,0.8330,5.89,1.0000,17.85,16.50,0,0,0,0,0,0,2.00,14.52,14.92,2.00,14.70,0.00,0.00,0.000,55.64,-9.05,34.78,11,-0.977
12055,11.83,-11.83,8,0.46,1735,0.00,0.00,0.8155,4.35,1.0000,16.80,10.50,0,0,0,0,0,0,1.00,14.52,3.03,1.20,14.70,10.59,0.00,0.000,0.00,-12.78,0.00,11,0.000
12218,11.14,-5.81,8,0.30,1604,0.00,0.00,0.8330,2.56,1.0000,21.99,21.00,0,0,0,0,0,0,0.00,14.52,22.77,1.14,14.70,5.10,0.00,13.121,198.58,-12.78,24.64,14,-1.343
12381,11.37,-11.83,8,0.46,1508,0.00,0.00,0.8255,3.33,1.0000,21.12,20.00,1,1,0,0,0,0,0.00,14.52,5.36,1.50,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.000
12544,12.75,-11.83,8,0.31,1503,0.00,0.00,0.8530,2.56,1.0000,19.02,13.50,0,1,0,0,0,0,0.00,14.52,4.16,1.22,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.000
12706,14.24,-11.83,8,0.24,1370,0.00,0.00,0.8255,2.05,1.0000,16.00,12.50,0,1,0,0,0,0,0.00,14.52,4.35,1.22,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,-0.122
12869,14.59,-11.83,8,0.22,1240,0.00,0.00,0.8255,2.05,1.0000,12.89,19.00,0,1,0,0,0,0,0.00,14.61,3.67,1.18,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.000
13032,15.50,-11.83,8,0.20,1109,0.00,0.00,0.8678,2.05,1.0000,11.99,17.00,1,0,0,0,0,0,0.00,14.52,3.16,1.14,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.000
13195,15.85,-11.85,8,0.19,979,0.00,0.00,0.8230,1.79,1.0000,12.08,17.00,1,1,0,0,0,0,0.00,14.53,2.66,1.10,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.000
13359,16.65,-11.83,8,0.18,924,0.00,0.00,0.8280,1.79,1.0000,11.99,17.00,1,0,0,0,0,0,0.00,14.52,2.54,1.08,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,-0.122
13521,16.77,-11.83,8,0.18,846,0.00,0.00,0.8330,1.79,1.0000,11.99,17.00,1,1,0,0,0,0,0.00,14.52,2.47,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.122
13684,17.11,-11.83,8,0.18,778,0.00,0.00,0.8180,1.79,1.0000,11.99,17.00,1,1,0,0,0,0,0.00,14.52,2.47,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.000
13847,17.46,-11.83,8,0.19,711,0.00,0.00,0.8280,1.79,1.0000,11.99,17.00,1,1,0,0,0,0,0.00,14.52,2.47,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.000
14010,17.80,-11.83,8,0.20,658,0.00,0.00,0.8255,2.05,1.0000,11.99,17.00,1,1,0,0,0,0,0.00,14.52,2.52,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.122
14173,18.03,-11.83,8,0.21,636,0.00,0.00,0.8652,2.05,1.0000,11.99,17.00,0,0,0,0,0,0,0.00,14.52,2.73,1.08,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.000
14336,18.15,-11.86,8,0.23,626,0.00,0.00,0.8355,2.30,1.0000,11.99,17.00,0,0,0,0,0,0,0.00,14.52,2.84,1.10,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.000
14499,18.26,-11.83,8,0.25,633,0.00,0.00,0.8555,2.30,1.0000,12.21,16.50,0,0,0,0,0,0,0.00,14.52,3.03,1.10,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.000
14662,18.03,-11.83,8,0.26,674,0.00,0.00,0.8652,2.56,1.0000,11.99,17.00,0,0,0,0,0,0,0.00,14.52,3.08,1.12,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.000
14825,17.80,-11.83,8,0.26,740,0.00,0.00,0.8230,2.56,1.0000,11.99,17.00,0,0,0,0,0,0,0.00,14.52,3.16,1.12,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.122
14988,17.11,-11.83,8,0.26,814,0.00,0.00,0.8180,2.56,1.0000,11.99,17.00,0,0,0,0,0,0,0.00,14.52,3.16,1.12,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.000
15150,15.85,-11.83,8,0.25,832,0.00,0.00,0.8405,2.56,1.0000,11.99,11.50,0,0,0,0,0,0,0.00,14.52,3.08,1.12,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.000
15314,14.59,-11.83,8,0.23,908,0.00,0.00,0.8205,2.30,1.0000,11.85,6.50,0,0,0,0,0,0,0.00,14.53,2.81,1.10,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.000
15476,14.13,-11.83,8,0.21,925,0.00,0.00,0.8180,2.30,1.0000,11.99,6.50,0,0,0,0,0,0,0.00,14.53,2.76,1.08,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.000
15639,13.90,-11.83,8,0.20,898,0.00,0.00,0.8305,2.30,1.0000,11.99,9.00,0,0,0,0,0,0,0.00,14.52,2.73,1.10,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.000
15802,13.90,-11.83,8,0.20,887,0.00,0.00,0.8205,2.05,1.0000,11.99,10.50,0,0,0,0,0,0,0.00,14.52,2.76,1.08,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.000
15964,14.13,-11.85,8,0.20,880,0.00,0.00,0.8255,2.05,1.0000,11.99,13.00,0,0,0,0,0,0,0.00,14.53,2.71,1.08,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.000
16127,14.24,-11.83,8,0.20,858,0.00,0.00,0.8255,2.05,1.0000,11.99,13.50,0,0,0,0,0,0,0.00,14.52,2.66,1.08,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.000
16290,14.47,-11.83,8,0.20,778,0.00,0.00,0.8230,2.05,1.0000,11.99,15.50,0,0,0,0,0,0,0.00,14.52,2.66,1.08,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,-0.122
16453,14.70,-11.83,8,0.20,841,0.00,0.00,0.8330,2.05,1.0000,11.99,15.50,0,0,0,0,0,0,0.00,14.52,2.66,1.08,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.000
16616,14.81,-11.83,8,0.20,887,0.00,0.00,0.8280,2.05,1.0000,11.99,15.50,0,0,0,0,0,0,0.00,14.52,2.66,1.08,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.000
16780,14.93,-11.83,8,0.20,824,0.00,0.00,0.8652,2.05,1.0000,11.99,15.50,0,0,0,0,0,0,0.00,14.52,2.64,1.08,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.000
16942,15.04,-11.83,8,0.20,812,0.00,0.00,0.8305,2.05,1.0000,11.99,15.50,0,0,0,0,0,0,0.00,14.52,2.56,1.08,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.000
17105,15.04,-11.83,8,0.20,828,0.00,0.00,0.8355,2.05,1.0000,11.99,15.50,0,0,0,0,0,0,0.00,14.52,2.52,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.000
17268,15.16,-11.83,8,0.19,830,0.00,0.00,0.8678,2.05,1.0000,11.99,15.00,0,0,0,0,0,0,0.00,14.52,2.47,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.000
17431,15.04,-11.85,8,0.19,818,0.00,0.00,0.8230,2.05,1.0000,11.99,13.50,0,0,0,0,0,0,0.00,14.52,2.42,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.000
17593,14.93,-11.83,8,0.19,796,0.00,0.00,0.8305,2.05,1.0000,11.99,15.50,0,0,0,0,0,0,0.00,14.52,2.42,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.000
17757,14.93,-11.83,8,0.19,809,0.00,0.00,0.8330,2.05,1.0000,11.99,15.50,0,0,0,0,0,0,0.00,14.52,2.40,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.122
17919,14.93,-11.83,8,0.19,803,0.00,0.00,0.8205,2.05,1.0000,11.99,15.50,0,0,0,0,0,0,0.00,14.52,2.40,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.122
18081,15.04,-11.85,8,0.19,799,0.00,0.00,0.8280,2.05,1.0000,11.99,15.50,0,0,0,0,0,0,0.00,14.53,2.38,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.000
18244,15.16,-11.83,8,0.19,776,0.00,0.00,0.8355,2.05,1.0000,11.99,15.50,0,0,0,0,0,0,0.00,14.52,2.34,1.04,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,14,0.000
