Time (msec),A/F Sensor #1 (AFR),Boost Error* (psi),CL/OL Fueling* (status),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),Feedback Knock Correction (1-byte)** (degrees),Fine Learning Knock Correction (degrees),Fuel Injector #1 Latency (4-byte)* (ms),Fuel Injector #1 Pulse Width (ms),IAM (4-byte)* (multiplier),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake VVT Advance Angle Left (degrees),Intake VVT Advance Angle Right (degrees),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Learned Ignition Timing (degrees),Manifold Absolute Pressure (4-byte)* (psi absolute),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Open Loop Map Enrichment (2-byte)** (estimated AFR),Primary WGDC Maximum (1-byte)** (%),Primary Wastegate Duty Cycle (%),Primary Wastegate Duty Maximum* (4-byte)* (%),Requested Torque* (raw ecu value),Target Boost Relative (4-byte)* (psi relative),Throttle Plate Opening Angle (4-byte)* (%),Tip-in Enrichment (Last Calculated)* (raw ecu value),Tip-in Throttle* (%)
0,17.46,-11.83,7,0.22,698,0.00,0.00,0.8205,2.30,1.0000,11.99,12.00,0,0,0,0,0,0,0.00,14.52,2.52,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
162,17.46,-11.83,7,0.22,722,0.00,0.00,0.8205,2.05,1.0000,11.99,12.00,0,0,0,0,0,0,0.00,14.52,2.47,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
325,17.57,-11.83,7,0.22,718,0.00,0.00,0.8180,2.05,1.0000,11.99,11.50,0,0,0,0,0,0,0.00,14.52,2.47,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
487,17.57,-11.83,7,0.21,712,0.00,0.00,0.8180,2.05,1.0000,11.99,11.00,0,0,0,0,0,0,0.00,14.52,2.42,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
651,17.57,-11.83,7,0.21,718,0.00,0.00,0.8230,2.05,1.0000,11.99,10.00,0,0,0,0,0,0,0.00,14.52,2.40,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
814,17.69,-11.83,7,0.21,706,0.00,0.00,0.8205,2.05,1.0000,11.99,11.50,0,0,0,0,0,0,0.00,14.52,2.40,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
976,17.69,-11.83,7,0.21,702,0.00,0.00,0.8230,2.05,1.0000,11.99,9.50,0,0,0,0,0,0,0.00,14.52,2.40,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
1138,17.69,-11.83,7,0.21,692,0.00,0.00,0.8155,2.05,1.0000,11.99,12.00,0,0,0,0,0,0,0.00,14.52,2.40,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
1301,17.80,-11.83,7,0.21,761,0.00,0.00,0.8155,2.05,1.0000,11.99,10.00,0,0,0,0,0,0,0.00,14.52,2.42,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
1466,17.80,-11.83,7,0.21,704,0.00,0.00,0.8255,2.05,1.0000,11.99,11.50,0,0,0,0,0,0,0.00,14.52,2.42,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
1628,17.92,-11.83,7,0.21,694,0.00,0.00,0.8180,2.05,1.0000,11.99,12.50,0,0,0,0,0,0,0.00,14.52,2.44,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
1791,17.92,-11.83,7,0.22,673,0.00,0.00,0.8230,2.05,1.0000,11.99,14.00,0,1,0,0,0,0,0.00,14.52,2.44,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
1954,18.03,-11.83,7,0.22,685,0.00,0.00,0.8230,2.05,1.0000,11.99,13.00,0,0,0,0,0,0,0.00,14.52,2.44,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
2117,18.03,-11.83,7,0.22,674,0.00,0.00,0.8230,2.05,1.0000,11.99,12.50,0,0,0,0,0,0,0.00,14.52,2.47,1.06,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
