Time (msec),A/F Sensor #1 (AFR),Boost Error* (psi),CL/OL Fueling* (status),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),Feedback Knock Correction (1-byte)** (degrees),Fine Learning Knock Correction (degrees),Fuel Injector #1 Latency (4-byte)* (ms),Fuel Injector #1 Pulse Width (ms),IAM (4-byte)* (multiplier),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake VVT Advance Angle Left (degrees),Intake VVT Advance Angle Right (degrees),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Learned Ignition Timing (degrees),Manifold Absolute Pressure (4-byte)* (psi absolute),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Open Loop Map Enrichment (2-byte)** (estimated AFR),Primary WGDC Maximum (1-byte)** (%),Primary Wastegate Duty Cycle (%),Primary Wastegate Duty Maximum* (4-byte)* (%),Requested Torque* (raw ecu value),Target Boost Relative (4-byte)* (psi relative),Throttle Plate Opening Angle (4-byte)* (%),Tip-in Enrichment (Last Calculated)* (raw ecu value),Tip-in Throttle* (%)
0,14.47,-11.79,8,0.22,1227,0.00,0.00,0.7975,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.47,4.55,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
158,14.47,-11.81,8,0.22,1222,0.00,0.00,0.7945,2.05,1.0000,16.91,17.50,0,0,0,0,0,0,0.00,14.47,4.55,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
321,14.47,-11.79,8,0.22,1234,0.00,0.00,0.7955,2.05,1.0000,16.91,17.50,0,0,0,0,0,0,0.00,14.47,4.55,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
484,14.59,-11.80,8,0.22,1225,0.00,0.00,0.7975,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.47,4.55,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
647,14.47,-11.79,8,0.22,1230,0.00,0.00,0.7975,2.05,1.0000,16.91,16.50,0,0,0,0,0,0,0.00,14.47,4.55,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
809,14.47,-11.79,8,0.22,1235,0.00,0.00,0.7975,2.05,1.0000,16.91,16.50,0,0,0,0,0,0,0.00,14.47,4.58,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
971,14.47,-11.79,8,0.22,1222,0.00,0.00,0.7975,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.47,4.55,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
1135,14.47,-11.79,8,0.22,1226,0.00,0.00,0.7935,2.05,1.0000,16.91,17.00,0,0,0,0,0,0,0.00,14.47,4.55,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
1298,14.47,-11.79,8,0.22,1240,0.00,0.00,0.7955,2.05,1.0000,16.91,16.50,0,0,0,0,0,0,0.00,14.47,4.55,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
1461,14.47,-11.79,8,0.22,1223,0.00,0.00,0.7975,2.05,1.0000,16.91,17.50,0,0,0,0,0,0,0.00,14.47,4.55,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
1624,14.47,-11.79,8,0.22,1236,0.00,0.00,0.7955,2.05,1.0000,16.91,17.00,0,0,0,0,0,0,0.00,14.47,4.55,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
1786,14.47,-11.79,8,0.22,1240,0.00,0.00,0.7965,2.05,1.0000,16.91,16.50,0,0,0,0,0,0,0.00,14.47,4.55,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
1950,14.59,-11.79,8,0.22,1222,0.00,0.00,0.7935,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.47,4.55,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
2112,14.59,-11.79,8,0.22,1239,0.00,0.00,0.7965,2.05,1.0000,16.91,16.50,0,0,0,0,0,0,0.00,14.47,4.55,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
2275,14.59,-11.79,8,0.22,1235,0.00,0.00,0.7955,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.47,4.51,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
2438,14.59,-11.79,8,0.22,1226,0.00,0.00,0.7945,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.47,4.51,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
2601,14.47,-11.79,8,0.22,1228,0.00,0.00,0.7998,2.05,1.0000,16.91,17.50,0,0,0,0,0,0,0.00,14.47,4.51,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
2764,14.47,-11.79,8,0.22,1229,0.00,0.00,0.7988,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.47,4.48,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
2931,14.47,-11.79,8,0.22,1214,0.00,0.00,0.7975,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.47,4.51,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
3089,14.47,-11.79,8,0.22,1231,0.00,0.00,0.7913,2.05,1.0000,16.91,17.00,0,0,0,0,0,0,0.00,14.47,4.51,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
3253,14.47,-11.79,8,0.22,1240,0.00,0.00,0.7955,2.05,1.0000,16.91,17.00,0,0,0,0,0,0,0.00,14.47,4.51,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
3416,14.59,-11.79,8,0.22,1220,0.00,0.00,0.7988,2.05,1.0000,16.91,17.50,0,0,0,0,0,0,0.00,14.47,4.51,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
3578,14.59,-11.79,8,0.22,1239,0.00,0.00,0.7935,2.05,1.0000,16.91,16.50,0,0,0,0,0,0,0.00,14.47,4.51,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
3742,14.59,-11.79,8,0.22,1236,0.00,0.00,0.7955,2.05,1.0000,16.91,17.50,0,0,0,0,0,0,0.00,14.47,4.51,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
3905,14.59,-11.79,8,0.22,1221,0.00,0.00,0.7998,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.47,4.48,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
4067,14.59,-11.79,8,0.22,1236,0.00,0.00,0.7945,2.05,1.0000,16.91,16.50,0,0,0,0,0,0,0.00,14.47,4.51,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
4230,14.47,-11.79,8,0.22,1236,0.00,0.00,0.7955,2.05,1.0000,16.91,17.50,0,0,0,0,0,0,0.00,14.47,4.51,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
4393,14.47,-11.79,8,0.22,1215,0.00,0.00,0.7965,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.47,4.51,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
4556,14.59,-11.79,8,0.22,1232,0.00,0.00,0.7925,2.05,1.0000,16.91,17.00,0,0,0,0,0,0,0.00,14.47,4.48,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
4720,14.59,-11.79,8,0.22,1238,0.00,0.00,0.7955,2.05,1.0000,16.91,17.50,0,0,0,0,0,0,0.00,14.47,4.48,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
4884,14.59,-11.81,8,0.22,1222,0.00,0.00,0.7975,2.05,1.0000,16.91,17.50,0,0,0,0,0,0,0.00,14.49,4.51,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
5045,14.59,-11.80,8,0.22,1234,0.00,0.00,0.7945,2.05,1.0000,16.91,16.50,0,0,0,0,0,0,0.00,14.49,4.51,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
5208,14.59,-11.79,8,0.22,1242,0.00,0.00,0.7965,2.05,1.0000,16.91,17.00,0,0,0,0,0,0,0.00,14.47,4.51,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
5370,14.47,-11.79,8,0.22,1228,0.00,0.00,0.7965,2.05,1.0000,16.91,17.00,0,0,0,0,0,0,0.00,14.47,4.51,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
5533,14.47,-11.79,8,0.22,1238,0.00,0.00,0.7955,2.05,1.0000,16.91,16.50,0,0,0,0,0,0,0.00,14.47,4.51,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
5697,14.47,-11.79,8,0.22,1220,0.00,0.00,0.7988,2.05,1.0000,16.91,17.50,0,0,0,0,0,0,0.00,14.49,4.51,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
5859,14.47,-11.79,8,0.22,1212,0.00,0.00,0.7935,2.05,1.0000,16.91,17.50,0,0,0,0,0,0,0.00,14.47,4.51,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
6023,14.59,-11.79,8,0.22,1228,0.00,0.00,0.7945,2.05,1.0000,16.91,17.00,0,0,0,0,0,0,0.00,14.47,4.51,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
6186,14.47,-11.79,8,0.22,1224,0.00,0.00,0.7945,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.47,4.48,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
6348,14.47,-11.79,8,0.22,1225,0.00,0.00,0.7955,2.05,1.0000,16.91,17.50,0,0,0,0,0,0,0.00,14.47,4.48,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
