Time (msec),A/F Sensor #1 (AFR),Boost Error* (psi),CL/OL Fueling* (status),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),Feedback Knock Correction (1-byte)** (degrees),Fine Learning Knock Correction (degrees),Fuel Injector #1 Latency (4-byte)* (ms),Fuel Injector #1 Pulse Width (ms),IAM (4-byte)* (multiplier),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake VVT Advance Angle Left (degrees),Intake VVT Advance Angle Right (degrees),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Learned Ignition Timing (degrees),Manifold Absolute Pressure (4-byte)* (psi absolute),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Open Loop Map Enrichment (2-byte)** (estimated AFR),Primary WGDC Maximum (1-byte)** (%),Primary Wastegate Duty Cycle (%),Primary Wastegate Duty Maximum* (4-byte)* (%),Requested Torque* (raw ecu value),Target Boost Relative (4-byte)* (psi relative),Throttle Plate Opening Angle (4-byte)* (%),Tip-in Enrichment (Last Calculated)* (raw ecu value),Tip-in Throttle* (%)
6511,14.47,-11.79,8,0.22,1237,0.00,0.00,0.7965,2.05,1.0000,16.91,17.00,0,0,0,0,0,0,0.00,14.47,4.48,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
6675,14.47,-11.79,8,0.22,1224,0.00,0.00,0.7925,2.05,1.0000,16.91,17.50,0,0,0,0,0,0,0.00,14.47,4.48,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
6905,14.47,-11.79,8,0.22,1217,0.00,0.00,0.7965,2.05,1.0000,16.91,17.50,0,0,0,0,0,0,0.00,14.47,4.48,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.122
7001,14.59,-11.79,8,0.22,1162,0.00,0.00,0.7965,2.05,1.0000,16.91,17.00,0,0,0,0,0,0,0.00,14.47,4.45,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
7163,14.59,-11.79,8,0.22,1229,0.00,0.00,0.7945,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.47,4.45,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
7326,14.47,-11.79,8,0.22,1217,0.00,0.00,0.7988,2.05,1.0000,16.91,17.50,0,0,0,0,0,0,0.00,14.47,4.45,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
7489,14.47,-11.79,8,0.22,1230,0.00,0.00,0.7988,2.05,1.0000,16.91,17.00,0,0,0,0,0,0,0.00,14.47,4.48,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,-0.122
7652,14.47,-11.79,8,0.22,1227,0.00,0.00,0.7965,2.05,1.0000,16.91,17.50,0,0,0,0,0,0,0.00,14.47,4.48,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
7815,14.59,-11.79,8,0.22,1212,0.00,0.00,0.7965,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.47,4.45,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,-0.122
7978,14.59,-11.79,8,0.22,1232,0.00,0.00,0.7988,2.05,1.0000,16.91,16.50,0,0,0,0,0,0,0.00,14.47,4.45,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,-0.122
8140,14.47,-11.79,8,0.22,1231,0.00,0.00,0.8007,2.05,1.0000,16.91,17.50,0,0,0,0,0,0,0.00,14.47,4.45,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
8303,14.47,-11.79,8,0.22,1213,0.00,0.00,0.7965,2.05,1.0000,16.91,17.50,0,0,0,0,0,0,0.00,14.47,4.45,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
8466,14.59,-11.79,8,0.22,1229,0.00,0.00,0.7925,2.05,1.0000,16.91,16.50,0,0,0,0,0,0,0.00,14.49,4.48,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
8629,14.59,-11.79,8,0.22,1221,0.00,0.00,0.7955,2.05,1.0000,16.91,17.00,0,0,0,0,0,0,0.00,14.47,4.48,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
8792,14.59,-11.80,8,0.22,1271,0.00,0.00,0.7935,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.49,4.48,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
8955,14.59,-11.79,8,0.22,1215,0.00,0.00,0.7975,2.05,1.0000,16.91,16.50,0,0,0,0,0,0,0.00,14.47,4.48,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.122
9118,14.47,-11.80,8,0.22,1233,0.00,0.00,0.7988,2.05,1.0000,16.91,16.50,0,0,0,0,0,0,0.00,14.47,4.48,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,-0.122
9280,14.47,-11.79,8,0.22,1279,0.00,0.00,0.7935,2.05,1.0000,16.91,17.50,0,0,0,0,0,0,0.00,14.47,4.48,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,-0.122
9444,14.47,-11.79,8,0.22,1215,0.00,0.00,0.7935,2.05,1.0000,16.91,16.50,0,0,0,0,0,0,0.00,14.47,4.48,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
9607,14.59,-11.79,8,0.22,1223,0.00,0.00,0.7975,2.05,1.0000,16.91,17.00,0,0,0,0,0,0,0.00,14.47,4.48,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,-0.122
9770,14.47,-11.79,8,0.22,1278,0.00,0.00,0.7945,2.05,1.0000,16.91,17.50,0,0,0,0,0,0,0.00,14.47,4.45,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
9933,14.47,-11.79,8,0.22,1216,0.00,0.00,0.7945,2.05,1.0000,16.91,17.50,0,0,0,0,0,0,0.00,14.47,4.45,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.122
10096,14.47,-11.79,8,0.22,1230,0.00,0.00,0.7955,2.05,1.0000,16.91,16.50,0,0,0,0,0,0,0.00,14.47,4.45,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,-0.122
10258,14.59,-11.79,8,0.22,1216,0.00,0.00,0.7955,2.05,1.0000,16.91,17.50,0,0,0,0,0,0,0.00,14.47,4.48,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
10422,14.59,-11.79,8,0.22,1216,0.00,0.00,0.7955,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.47,4.45,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
10584,14.59,-11.79,8,0.22,1232,0.00,0.00,0.7955,2.05,1.0000,16.91,16.50,0,0,0,0,0,0,0.00,14.47,4.45,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
10747,14.47,-11.79,8,0.22,1226,0.00,0.00,0.7975,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.47,4.45,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.122
10910,14.47,-11.80,8,0.22,1224,0.00,0.00,0.7965,2.05,1.0000,16.91,17.50,0,0,0,0,0,0,0.00,14.49,4.45,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
11074,14.47,-11.79,8,0.22,1234,0.00,0.00,0.7945,2.05,1.0000,16.91,16.00,0,0,0,0,0,0,0.00,14.49,4.45,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
11236,14.59,-11.79,8,0.22,1229,0.00,0.00,0.7935,2.05,1.0000,16.91,17.50,0,0,0,0,0,0,0.00,14.47,4.45,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
11399,14.59,-11.79,8,0.22,1225,0.00,0.00,0.7945,2.05,1.0000,16.91,17.50,0,0,0,0,0,0,0.00,14.47,4.45,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
11562,14.59,-11.79,8,0.22,1236,0.00,0.00,0.7988,2.05,1.0000,16.91,16.50,0,0,0,0,0,0,0.00,14.47,4.42,1.22,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
11734,14.47,-11.79,8,0.22,1229,0.00,0.00,0.7988,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.47,4.42,1.22,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
11888,14.47,-11.79,8,0.22,1212,0.00,0.00,0.7965,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.47,4.42,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
12051,14.59,-11.79,8,0.22,1230,0.00,0.00,0.7945,2.05,1.0000,16.91,16.50,0,0,0,0,0,0,0.00,14.47,4.42,1.22,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
12214,14.47,-11.79,8,0.22,1228,0.00,0.00,0.7965,2.05,1.0000,16.91,17.50,0,0,0,0,0,0,0.00,14.47,4.42,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
12377,14.47,-11.79,8,0.22,1210,0.00,0.00,0.7945,2.05,1.0000,16.91,18.50,0,0,0,0,0,0,0.00,14.47,4.42,1.22,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
12540,14.59,-11.79,8,0.22,1162,0.00,0.00,0.7925,2.05,1.0000,16.91,17.00,0,0,0,0,0,0,0.00,14.47,4.42,1.22,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
12702,14.47,-11.79,8,0.22,1220,0.00,0.00,0.7998,2.05,1.0000,16.91,17.50,0,0,0,0,0,0,0.00,14.47,4.38,1.22,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
12866,14.47,-11.79,8,0.22,1272,0.00,0.00,0.8007,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.47,4.42,1.22,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
13028,14.59,-11.79,8,0.22,1210,0.00,0.00,0.7955,2.05,1.0000,16.91,17.00,0,0,0,0,0,0,0.00,14.47,4.42,1.22,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
13190,14.93,-11.79,8,0.22,1215,0.00,0.00,0.7975,2.05,1.0000,16.91,17.00,0,0,0,0,0,0,0.00,14.47,4.42,1.22,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
13354,15.16,-11.79,8,0.22,1207,0.00,0.00,0.7975,2.05,1.0000,16.91,19.00,0,0,0,0,0,0,0.00,14.49,4.45,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.122
13516,15.27,-11.79,8,0.22,1204,0.00,0.00,0.7955,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.47,4.58,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
13680,15.16,-11.79,8,0.23,1159,0.00,0.00,0.7965,2.05,1.0000,16.91,16.50,0,0,0,0,0,0,0.00,14.47,4.58,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
13843,15.16,-11.79,8,0.23,1202,0.00,0.00,0.7998,2.05,1.0000,16.91,17.50,0,0,0,0,0,0,0.00,14.47,4.58,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
14006,14.81,-11.79,8,0.23,1176,0.00,0.00,0.7955,2.05,1.0000,16.91,19.50,0,0,0,0,0,0,0.00,14.47,4.58,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
14169,14.59,-11.79,8,0.23,1172,0.00,0.00,0.7975,2.05,1.0000,16.91,20.00,0,0,0,0,0,0,0.00,14.47,4.58,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
14331,14.47,-11.79,8,0.23,1194,0.00,0.00,0.7965,2.05,1.0000,16.91,16.50,0,0,0,0,0,0,0.00,14.47,4.61,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
14494,14.47,-11.79,8,0.23,1220,0.00,0.00,0.7955,2.05,1.0000,16.91,16.00,0,0,0,0,0,0,0.00,14.47,4.71,1.26,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
14661,14.47,-11.79,8,0.23,1278,0.00,0.00,0.7965,2.05,1.0000,16.91,16.50,0,0,0,0,0,0,0.00,14.47,4.74,1.26,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
14837,14.47,-11.79,8,0.23,1220,0.00,0.00,0.7955,2.05,1.0000,16.91,15.00,0,0,0,0,0,0,0.00,14.47,4.71,1.26,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
14983,14.47,-11.79,8,0.23,1232,0.00,0.00,0.7965,2.05,1.0000,16.91,15.00,0,0,0,0,0,0,0.00,14.47,4.71,1.26,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
15146,14.47,-11.79,8,0.23,1223,0.00,0.00,0.7998,2.05,1.0000,16.91,16.50,0,0,0,0,0,0,0.00,14.47,4.74,1.26,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
15308,14.36,-11.79,8,0.23,1231,0.00,0.00,0.7998,2.05,1.0000,16.91,15.00,0,0,0,0,0,0,0.00,14.47,4.74,1.26,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
15490,14.47,-11.79,8,0.23,1247,0.00,0.00,0.7955,2.05,1.0000,16.91,15.00,0,0,0,0,0,0,0.00,14.47,4.68,1.26,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
15635,14.59,-11.79,8,0.23,1251,0.00,0.00,0.7935,2.05,1.0000,16.91,15.50,0,0,0,0,0,0,0.00,14.47,4.48,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
15797,14.81,-11.79,8,0.22,1266,0.00,0.00,0.7955,2.05,1.0000,16.91,14.00,0,0,0,0,0,0,0.00,14.47,4.45,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
15961,15.04,-11.79,8,0.22,1266,0.00,0.00,0.7988,2.05,1.0000,16.91,15.50,0,0,0,0,0,0,0.00,14.47,4.45,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
16124,15.04,-11.80,8,0.21,1245,0.00,0.00,0.7935,2.05,1.0000,16.91,16.00,0,0,0,0,0,0,0.00,14.47,4.38,1.22,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
16287,14.93,-11.79,8,0.21,1247,0.00,0.00,0.7955,2.05,1.0000,16.91,16.50,0,0,0,0,0,0,0.00,14.47,4.42,1.22,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.122
16450,14.93,-11.79,8,0.21,1229,0.00,0.00,0.7998,2.05,1.0000,16.91,17.50,0,0,0,0,0,0,0.00,14.47,4.45,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
16612,14.81,-11.79,8,0.22,1236,0.00,0.00,0.7955,2.05,1.0000,16.91,17.00,0,0,0,0,0,0,0.00,14.47,4.51,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
16776,14.59,-11.79,8,0.22,1240,0.00,0.00,0.7998,2.05,1.0000,16.91,17.00,0,0,0,0,0,0,0.00,14.47,4.51,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
16938,14.47,-11.79,8,0.22,1224,0.00,0.00,0.7965,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.47,4.51,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
17102,14.36,-11.79,8,0.22,1238,0.00,0.00,0.7975,2.05,1.0000,16.91,17.00,0,0,0,0,0,0,0.00,14.49,4.51,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
17264,14.24,-11.79,8,0.22,1240,0.00,0.00,0.7955,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.47,4.48,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
17427,14.24,-11.79,8,0.22,1234,0.00,0.00,0.7998,2.05,1.0000,16.91,17.50,0,0,0,0,0,0,0.00,14.47,4.45,1.24,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,-0.122
17590,14.24,-11.79,8,0.22,1240,0.00,0.00,0.7998,2.05,1.0000,16.91,16.50,0,0,0,0,0,0,0.00,14.47,4.35,1.22,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,-0.122
17753,14.24,-11.79,8,0.21,1234,0.00,0.00,0.7965,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.47,4.29,1.22,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
17916,14.24,-11.79,8,0.21,1220,0.00,0.00,0.7955,2.05,1.0000,16.91,18.50,0,0,0,0,0,0,0.00,14.47,4.29,1.22,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
18079,14.24,-11.79,8,0.21,1156,0.00,0.00,0.7988,2.05,1.0000,16.91,17.50,0,0,0,0,0,0,0.00,14.47,4.29,1.22,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,13,0.000
